,sku,model,forecast1,forecast2,forecast3,forecast4,forecast5,rmse,mape
0,Key_Sales_1,lr,0,0,0,0,0,0,0
1,Key_Sales_1,lasso,0,0,0,0,0,0,0
2,Key_Sales_1,ridge,0,0,0,0,0,0,0
3,Key_Sales_1,en,0,0,0,0,0,0,0
4,Key_Sales_1,huber,0,0,0,0,0,3.26E-08,0
5,Key_Sales_1,llars,0,0,0,0,0,0.800333542,0
6,Key_Sales_1,pa,0,0,0,0,0,0,0
7,Key_Sales_1,knn,0,0,0,0,0,0,0
8,Key_Sales_1,cart,0,0,0,0,0,0.800333542,0
9,Key_Sales_1,extra,0,0,0,0,0,0.820872695,0
10,Key_Sales_1,svmr,0,0,0,0,0,0.1,0
11,Key_Sales_1,ada,0,0,0,0,0,0.561403509,20
12,Key_Sales_1,bag,0,0,0,0,0,0.749695905,0
13,Key_Sales_1,rf,0,0,0,0,0,0.927488572,0
14,Key_Sales_1,et,0,0,0,0,0,0.804538999,0
15,Key_Sales_1,gbm,0,0,0,0,0,0.820872149,0
16,Key_Sales_1,AR,0,0,0,0,0,18.47520861,0
17,Key_Sales_1,MA,2,2,2,2,2,18.47520861,0
18,Key_Sales_1,ARMA,0,0,0,0,0,18.47520861,0
19,Key_Sales_1,ARIMA,2,2,2,2,2,18.47520861,0
20,Key_Sales_1,SES,0,0,0,0,0,0.711111235,0
21,Key_Sales_1,HWES,0,0,0,0,0,0.711111235,0
22,Key_Sales_1,naive,0,0,0,0,0,18.47520861,0
23,Key_Sales_1,naive_rept,0,0,0,0,0,18.47520861,0
24,Key_Sales_1,naive3,0,0,0,0,0,18.47520861,0
25,Key_Sales_1,naive6,0,0,0,0,0,18.47520861,0
26,Key_Sales_1,naive12,0,0,0,0,32,18.47520861,0
27,Key_Sales_1,naive12wa,0,0,0,0,17,18.47520861,0
28,Key_Sales_1,sma,0,0,0,0,0,18.47520861,0
29,Key_Sales_1,wma,0,0,0,0,0,18.47520861,0
30,Key_Sales_1,Croston,0,0,0,0,0,5.394759192,0
31,Key_Sales_2,lr,2946,2611,2870,2812,2857,1388.050533,90.0118
32,Key_Sales_2,lasso,2946,2611,2870,2812,2857,1388.050533,90.0118
33,Key_Sales_2,ridge,2946,2611,2870,2812,2857,1388.050559,90.0118
34,Key_Sales_2,en,2913,2735,2869,2853,2865,1390.166021,89.8968
35,Key_Sales_2,huber,2915,2534,2822,2748,2804,1221.305251,91.6484
36,Key_Sales_2,llars,2944,2617,2869,2815,2857,1388.317698,89.9192
37,Key_Sales_2,pa,2273,956,1522,640,1019,3519.687017,85.0372
38,Key_Sales_2,knn,2660,2544,2671,2671,4005,1596.63805,123.2204
39,Key_Sales_2,cart,2845,2845,2845,2845,2845,1441.341897,114.0856
40,Key_Sales_2,extra,2364,2364,528,528,2016,2412.784965,192.4106
41,Key_Sales_2,svmr,2790,2790,2790,2790,2790,1327.237663,82.7264
42,Key_Sales_2,ada,2713,2363,2097,2305,2363,1511.055524,112.0278
43,Key_Sales_2,bag,2386,3186,1550,2527,2492,1965.844948,149.4858
44,Key_Sales_2,rf,2353,2353,1386,1386,2253,1771.739876,143.5078
45,Key_Sales_2,et,2303,2303,964,964,3737,2062.584713,180.4886
46,Key_Sales_2,gbm,2326,2891,1206,3009,2326,2484.148001,156.0056
47,Key_Sales_2,AR,2015,1695,1697,1585,1513,2753.697511,182.0558
48,Key_Sales_2,MA,2588,2547,2532,2515,2498,2614.911193,175.7524
49,Key_Sales_2,ARMA,1860,2228,1838,1975,2014,2607.226779,138.1642
50,Key_Sales_2,ARIMA,2309,2447,2460,2447,2429,2723.658407,178.6162
51,Key_Sales_2,SES,2944,2944,2944,2944,2944,1391.798403,85.9152
52,Key_Sales_2,HWES,2944,2944,2944,2944,2944,1391.798403,85.9152
53,Key_Sales_2,naive,1428,1428,1428,1428,1428,3024.301698,273.2984
54,Key_Sales_2,naive_rept,0,0,0,0,0,2885.719277,250.8384
55,Key_Sales_2,naive3,756,3396,1428,756,3396,3068.184398,195.7654
56,Key_Sales_2,naive6,1668,3168,3408,756,3396,2676.179761,86.35
57,Key_Sales_2,naive12,2016,4140,2772,6978,4152,2110.715256,100.0652
58,Key_Sales_2,naive12wa,2646,4885,2680,5177,3640,2361.13931,83.4814
59,Key_Sales_2,sma,1860,2228,1838,1975,2014,2614.911193,175.7524
60,Key_Sales_2,wma,1948,2128,1890,1988,1989,2602.050685,179.1812
61,Key_Sales_2,Croston,0,0,0,0,0,1818.07,68.3168
62,Key_Sales_3,lr,618,526,624,580,627,272.1087221,47.4984
63,Key_Sales_3,lasso,618,526,624,580,627,272.1087082,47.4984
64,Key_Sales_3,ridge,618,526,624,580,627,272.1042145,47.4984
65,Key_Sales_3,en,618,526,624,580,627,272.1087221,47.4984
66,Key_Sales_3,huber,620,510,629,565,633,284.6047413,53.2916
